23.04.2020                                                               Saída dinâmica de lista                                                                       1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Nome do fornecedor|Material|Qtd.pedido|Texto breve|Qtd.estoque
4916       MAPEMI-BRASIL MATERIAIS |4003343|60.0|LIPOXEN 120MG 42CP NEOQUIMICA           |6
4916       MAPEMI-BRASIL MATERIAIS |4002779|120.0|ATENOLOL 25MG C/30CP                    |12
4916       MAPEMI-BRASIL MATERIAIS |4001795|108.0|RESFENOL LIQUIDO 100ML                  |10
4916       MAPEMI-BRASIL MATERIAIS |4002809|60.0|CLOPIDOGREL 75MG C/14CP                 |6
4916       MAPEMI-BRASIL MATERIAIS |4003299|120.0|BROMIFEN GTS 20ML NEOQUIMICA            |12
4916       MAPEMI-BRASIL MATERIAIS |4001743|120.0|CAPTOPRIL 25MG CX 30CP-NEO QUIMICA      |12
4916       MAPEMI-BRASIL MATERIAIS |4001049|120.0|VERTIGIUM 10MG CX 50CP                  |12
4916       MAPEMI-BRASIL MATERIAIS |4002757|60.0|FUROSEMIDA 40MG C/30CP                  |6
4916       MAPEMI-BRASIL MATERIAIS |4002810|96.0|CLOPIDOGREL 75MG C/28CP                 |9
4916       MAPEMI-BRASIL MATERIAIS |4006284|20.0|VITAMINA D 10.000UI X30 CAP             |2
4916       MAPEMI-BRASIL MATERIAIS |4000933|100.0|BROMELIN PROPOLIS 50ML                  |10
4916       MAPEMI-BRASIL MATERIAIS |4001371|180.0|DROPROPIZINA XPE PED FRASCO 120ML-NEO QU|18
4916       MAPEMI-BRASIL MATERIAIS |4001398|100.0|CLANISTIL SOLUÇÃO OFTALMICA FRASCO 15ML |10
4916       MAPEMI-BRASIL MATERIAIS |4001232|100.0|CLOBETASOL POMADA TUBO 30G-NEO QUIMICA  |10
4916       MAPEMI-BRASIL MATERIAIS |4000924|144.0|FIGATIL C/150ML                         |14
4916       MAPEMI-BRASIL MATERIAIS |4005264|100.0|MAXALGINA XPE INF C/100ML (NTF)         |10
4916       MAPEMI-BRASIL MATERIAIS |4002859|120.0|TADALAFILA 20MG C/1CP                   |12
4916       MAPEMI-BRASIL MATERIAIS |4002826|120.0|HIDROCLOROTIAZIDA 50MG C/20CP           |12
4916       MAPEMI-BRASIL MATERIAIS |4000934|100.0|BROMELIN SUS C/100ML                    |10
4916       MAPEMI-BRASIL MATERIAIS |4001993|120.0|BROMAZEPAM 3MG CX 30CP-NEO QUIMICA      |12
4916       MAPEMI-BRASIL MATERIAIS |4000010|100.0|ALCACHOFRA 300MG CX 30CP                |10
4916       MAPEMI-BRASIL MATERIAIS |4003338|120.0|IBUFRAN 300MG 20CP NEOQUIMICA           |12
4916       MAPEMI-BRASIL MATERIAIS |4003317|108.0|FLAVONID 450/50MG 60CP NEOQUIMICA       |10
4916       MAPEMI-BRASIL MATERIAIS |4001766|120.0|NAPROXENO 550MG CX 20CP-NEO QUIMICA     |12
4916       MAPEMI-BRASIL MATERIAIS |4001753|120.0|LOSARTANA POTASSICA 100MG 30CP NEOQUIMIC|12
4916       MAPEMI-BRASIL MATERIAIS |4002295|100.0|ACIDO FUSIDICO CREME C/15G (NQG)        |10
4916       MAPEMI-BRASIL MATERIAIS |4002771|100.0|VALSARTANA 320MG C/30CP                 |10
4916       MAPEMI-BRASIL MATERIAIS |4002793|120.0|CAPTOPRIL 50MG C/30CP                   |12
4916       MAPEMI-BRASIL MATERIAIS |4002819|120.0|DROPROPIZINA XPE ADT C/120ML            |12
4916       MAPEMI-BRASIL MATERIAIS |4002833|100.0|MESALAZINA 400MG C/30CP NQM             |10
4916       MAPEMI-BRASIL MATERIAIS |4002864|120.0|VALSARTANA 80MG C/30CP                  |12
4916       MAPEMI-BRASIL MATERIAIS |4001444|120.0|NEOITRAX 100MG CX 4CP                   |12
4916       MAPEMI-BRASIL MATERIAIS |4000996|120.0|IVERNEO 6MG CX 4CP                      |12
4916       MAPEMI-BRASIL MATERIAIS |4001132|100.0|NEOSAC 300MG CX 20CP                    |10
4916       MAPEMI-BRASIL MATERIAIS |4001122|120.0|NEO BRASIL COLIRIO FRASCO 20ML          |12
4916       MAPEMI-BRASIL MATERIAIS |4001745|100.0|CIPROFLOXACINO 500MG CX 6CP-NEO QUIMICA |10
4916       MAPEMI-BRASIL MATERIAIS |4002072|120.0|TRAMADOL 50MG CX 10CP-NEO QUIMICA       |12
4916       MAPEMI-BRASIL MATERIAIS |4001373|120.0|LORATADINA 1MG/ML FRASCO 100ML-NEO QUIMI|12
4916       MAPEMI-BRASIL MATERIAIS |4001249|120.0|ENALAPRIL 10MG CX 30CP-NEO QUIMICA      |12
4916       MAPEMI-BRASIL MATERIAIS |4004566|100.0|NEOLINCO 600MG C/1APX2ML (NQF)          |10
4916       MAPEMI-BRASIL MATERIAIS |4005630|100.0|HISTAMIX 10MG C/12CP (HEB)              |10
4916       MAPEMI-BRASIL MATERIAIS |4002755|120.0|ENALAPRIL 20MG C/30CP                   |12
4916       MAPEMI-BRASIL MATERIAIS |4002759|100.0|LINCOMICINA 600MG C/1APX2ML             |10
4916       MAPEMI-BRASIL MATERIAIS |4002862|100.0|TOBRAMICINA 3MG/ML 5ML                  |10
4916       MAPEMI-BRASIL MATERIAIS |4002863|100.0|VALSARTANA 160MG C/30CP                 |10
4916       MAPEMI-BRASIL MATERIAIS |4002910|120.0|HIDRAPLEX PO GUARANA CX 4SACHE 27,9G    |12
4916       MAPEMI-BRASIL MATERIAIS |4003331|100.0|HECLIVIR 200MG 25CP NEOQUIMICA          |10
4916       MAPEMI-BRASIL MATERIAIS |4003340|120.0|IBUFRAN 600MG 30CP NEOQUIMICA           |12
4916       MAPEMI-BRASIL MATERIAIS |4003384|100.0|TERMOPIRONA 1G 10CP NEOQUIMICA          |10
3593       SB COMERCIO LTDA        |4003232|180.0|FLUCANIL 150MG 1CP GEOLAB               |18
3593       SB COMERCIO LTDA        |4005253|120.0|IBUPROFENO 100MG GOTAS C/20ML (GLG)     |12
3593       SB COMERCIO LTDA        |4005091|120.0|BETRICORT CREME 30G CX60 GEOLAB         |12
3593       SB COMERCIO LTDA        |4003225|150.0|COLIRIO GEOLAB 20ML GEOLAB              |15
3593       SB COMERCIO LTDA        |4003251|120.0|MIZONOL CREME DERM 20MG/G 28G GEOLAB    |12
3593       SB COMERCIO LTDA        |4003234|60.0|FOLONIN 5MG 20CP GEOLAB                 |6
3593       SB COMERCIO LTDA        |4001716|120.0|GINO-COLON TUBO 45G+7APL                |12
3593       SB COMERCIO LTDA        |4003244|96.0|LORITIL XPE 1MG/ML 100ML GEOLAB         |9
3593       SB COMERCIO LTDA        |4001648|48.0|BRONTEK XPE PED 5MG/ML FRASCO 120ML     |4
3593       SB COMERCIO LTDA        |4003222|48.0|CISTEIL XPE INF 20MG/ML C/120ML+COP GEOL|4
3593       SB COMERCIO LTDA        |4003227|120.0|DIPRIN SOL ORAL 100ML GEOLAB            |12
3593       SB COMERCIO LTDA        |4003270|120.0|TYLALGIN 750MG 20CP GEOLAB              |12
3593       SB COMERCIO LTDA        |4003022|120.0|ALBEL MAST 400MG 3CP GEOLAB             |12
3593       SB COMERCIO LTDA        |4003249|120.0|MIRACALCIO VIT-D 500MG+400UI 60CP GEOLAB|12
3593       SB COMERCIO LTDA        |4001102|120.0|GINO-MINOZOL CREME TUBO 80G+14APL       |12
3593       SB COMERCIO LTDA        |4003216|120.0|CAPOX 50MG 30CP GEOLAB                  |12
3593       SB COMERCIO LTDA        |4003277|120.0|VALYANNE 50MG 20CP GEOLAB               |12
3593       SB COMERCIO LTDA        |4001044|60.0|TRINODAZOL GELEIA VAG TUBO 50G+10APL    |6
3593       SB COMERCIO LTDA        |4001722|60.0|MAXIVIEW SUSP OFTALMICA FRASCO 5ML      |6
3593       SB COMERCIO LTDA        |4001730|60.0|PREDOPTIC SOL OFTALM FRASCO 5ML         |6
3593       SB COMERCIO LTDA        |4001640|120.0|ALBEL 400MG CX 01CP                     |12
3593       SB COMERCIO LTDA        |4005258|120.0|LOSARTANA POTASSICA 50MG C/30CP (GLG)   |12
3593       SB COMERCIO LTDA        |4003211|120.0|ARARTAN 50MG 30CP GEOLAB                |12
3593       SB COMERCIO LTDA        |4003236|120.0|GLICEFOR 850MG 30CP GEOLAB              |12
3593       SB COMERCIO LTDA        |4003250|96.0|MIRACALCIO VIT-D 600MG+400UI 60CP GEOLAB|9
3593       SB COMERCIO LTDA        |4003255|120.0|OCUTIL SOL OFTALM 0,25MG/ML 15ML GEOLAB |12
3593       SB COMERCIO LTDA        |4003259|120.0|POLTAX 50MG 20CP GEOLAB                 |12
3593       SB COMERCIO LTDA        |4003260|120.0|POLTAX FLAN GEL 11,6MG/G 60G GEOLAB     |12
3593       SB COMERCIO LTDA        |4003271|120.0|TYLALGIN CAF 20CP GEOLAB                |12
3593       SB COMERCIO LTDA        |4003281|120.0|VITAZINC EFERV LARANJA 10EVX4G GEOLAB   |12
3593       SB COMERCIO LTDA        |4000060|100.0|BRAVAN 160MG C/30CP                     |10
3593       SB COMERCIO LTDA        |4000061|72.0|BRAVAN 320MG C/30CP                     |7
3593       SB COMERCIO LTDA        |4000071|90.0|COMBIRON GTS 30ML                       |9
3593       SB COMERCIO LTDA        |4000498|100.0|BIOFENAC DI 46,5MG C/20CP               |10
3593       SB COMERCIO LTDA        |4000713|72.0|CARNABOL C/20CP                         |7
3593       SB COMERCIO LTDA        |4000723|60.0|FLAGASS 125MG 10CAPS                    |6
3593       SB COMERCIO LTDA        |4000724|100.0|FLAGASS GTS 10ML                        |10
3593       SB COMERCIO LTDA        |4000728|96.0|FLOGORAL LIMAO 12PAST                   |9
3593       SB COMERCIO LTDA        |4000732|96.0|TRANSPULMIN BALS 20G                    |9
3593       SB COMERCIO LTDA        |4000733|96.0|TRANSPULMIN INF 5SUP                    |9
3593       SB COMERCIO LTDA        |4001907|60.0|COLIKIDS GOTAS C/5ML                    |6
3593       SB COMERCIO LTDA        |4002087|100.0|BIOMAG 10MG C/30CP                      |10
3593       SB COMERCIO LTDA        |4002088|100.0|BIOMAG 15MG C/30CP                      |10
3593       SB COMERCIO LTDA        |4002090|90.0|EXODUS 10MG C/30CP                      |9
3593       SB COMERCIO LTDA        |4002091|80.0|REVANGE 37,5+325MG C/10CP               |8
3593       SB COMERCIO LTDA        |4002092|72.0|REVANGE 37,5+325MG C/20CP               |7
3593       SB COMERCIO LTDA        |4002093|60.0|SOMALIUM 3MG C/30CP                     |6
3593       SB COMERCIO LTDA        |4002094|60.0|SOMALIUM 6MG C/30CP                     |6
3593       SB COMERCIO LTDA        |4002218|60.0|SOYFEMME C/30CP                         |6
3593       SB COMERCIO LTDA        |4002326|80.0|CATIVA SACHÊ 30 SACHÊS C/06 G           |8
3593       SB COMERCIO LTDA        |4002443|96.0|IRRITRATIL 200MG C/ 30 CAPS             |9
3593       SB COMERCIO LTDA        |4002741|30.0|AXONIUM 5MG C/30CP                      |3
3593       SB COMERCIO LTDA        |4002742|48.0|AXONIUM 10MG C/30CP                     |4
3593       SB COMERCIO LTDA        |4002911|60.0|DORENE 150MG C/30CP GEL                 |6
3593       SB COMERCIO LTDA        |4002943|100.0|ALIVIUM 400MG 10CAP                     |10
3593       SB COMERCIO LTDA        |4002961|100.0|EQUILID 50MG C/20CAP                    |10
3593       SB COMERCIO LTDA        |4003677|48.0|ARISTAB 15MG C/30CP ACHE                |4
3593       SB COMERCIO LTDA        |4003815|60.0|QUETROS 25MG C/30CP C1 ACHE             |6
3593       SB COMERCIO LTDA        |4003816|100.0|QUETROS 100MG C/30CP C1 ACHE            |10
3593       SB COMERCIO LTDA        |4003831|48.0|SOFTALM C/1FRX5ML HYPERMARCAS           |4
3593       SB COMERCIO LTDA        |4003894|100.0|BUPROVIL 300MG CX C/20CP MULTILAB       |10
3593       SB COMERCIO LTDA        |4003952|100.0|QUETROS 25MG C/15CP C1 (ACH)            |10
3593       SB COMERCIO LTDA        |4004125|72.0|TARFIC 0,3MG/G POM 10G OR BG (LIB)      |7
3593       SB COMERCIO LTDA        |4004312|60.0|DONAREN RETARD 150MG C/20CP APS         |6
3593       SB COMERCIO LTDA        |4004471|100.0|SINVASTATINA 20MG C/60CP MEDLEY         |10
3593       SB COMERCIO LTDA        |4004480|36.0|LABEL 150MG C/20CP ACHE                 |3
3593       SB COMERCIO LTDA        |4004564|100.0|CEFALEXINA 500MG C/8CP (MDG)            |10
3593       SB COMERCIO LTDA        |4004640|100.0|MARACUGINA C/20CP HYPERMARCAS           |10
3593       SB COMERCIO LTDA        |4005050|100.0|ALCACHOFRA MILIAN 200MG C/120CP (MUL)   |10
3593       SB COMERCIO LTDA        |4005353|80.0|BIOMAG 10MG C/60CP                      |8
3593       SB COMERCIO LTDA        |4005354|96.0|BIOMAG 15MG C/60CP                      |9
3593       SB COMERCIO LTDA        |4005355|60.0|NOVANLO 2,5MG 60 CP                     |6
3593       SB COMERCIO LTDA        |4005720|60.0|COLIDIS 5ML                             |6
3593       SB COMERCIO LTDA        |4003410|96.0|FLANCOX 500MG C/14CP APSEN              |9
3593       SB COMERCIO LTDA        |4006010|96.0|MOTILEX 30 CAPSULAS (APS)               |9
3593       SB COMERCIO LTDA        |4006121|50.0|DESOL C/20ML (APS)                      |5
3593       SB COMERCIO LTDA        |4006088|50.0|SUPLAN 30CP                             |5
3593       SB COMERCIO LTDA        |4006085|50.0|TOFRANIL 10MG 20DRG (C1)                |5
3593       SB COMERCIO LTDA        |4006086|50.0|TOFRANIL 25MG 20DRG (C1)                |5
4239       TAPAJOS COMERCIO DE MEDI|4000340|96.0|SELOZOK 50MG 30CPR                      |9
4239       TAPAJOS COMERCIO DE MEDI|4000339|96.0|SELOZOK 25MG 30CPR                      |9
4239       TAPAJOS COMERCIO DE MEDI|4000342|72.0|VIMOVO 500MG+20MG C/20CP                |7
4239       TAPAJOS COMERCIO DE MEDI|4003689|10.0|CRESTOR 40MG C/30CP ASTRAZENECA         |1
4239       TAPAJOS COMERCIO DE MEDI|4006071|24.0|XIGDUO XR 5MG/1000MG C/60CP (AST)       |2
4239       TAPAJOS COMERCIO DE MEDI|4000337|32.0|PULMICORT 0,25MG C/5FRX2ML (PBM)        |3
4239       TAPAJOS COMERCIO DE MEDI|4002193|35.0|NEXIUM 20MG C/14CP                      |3
4239       TAPAJOS COMERCIO DE MEDI|4003683|20.0|SYMBICORT TURBO 400MCG C/60DOSES ASTRAZ |2
4239       TAPAJOS COMERCIO DE MEDI|4002339|70.0|SELOKEN 100MG C/30CP (AST)              |7
4239       TAPAJOS COMERCIO DE MEDI|4003691|60.0|CRESTOR 5MG C/60CP ASTRAZENECA          |6
4239       TAPAJOS COMERCIO DE MEDI|4003685|10.0|SEROQUEL XRO 300MG C/30CP C1 ASTRAZEN   |1
4239       TAPAJOS COMERCIO DE MEDI|4004574|10.0|FORXIGA 10MG 30CP                       |1
4239       TAPAJOS COMERCIO DE MEDI|4002563|10.0|XIGDUO XR 10MG/1000MG C/30CP (AST)      |1
4239       TAPAJOS COMERCIO DE MEDI|4002195|35.0|NEXIUM 40MG C/14CP                      |3
4239       TAPAJOS COMERCIO DE MEDI|4003682|60.0|SYMBICORT TURBO 200MCG C/60DOSES ASTRAZ |6
4239       TAPAJOS COMERCIO DE MEDI|4003687|20.0|VANNAIR 6/200MCG C/120DOSES ASTRAZENEC  |2
4239       TAPAJOS COMERCIO DE MEDI|4000338|64.0|PULMICORT 0,50MG C/5FRX2ML (PBM)        |6
4239       TAPAJOS COMERCIO DE MEDI|4000332|50.0|BUDECORT AQUA 32MCG 120DOSES SPRAY NASAL|5
4239       TAPAJOS COMERCIO DE MEDI|4000336|50.0|BUDECORT AQUA 64MCG 120DOSES            |5
4239       TAPAJOS COMERCIO DE MEDI|4005076|10.0|KOMBIGLYZE XR 5MG/1000MG 30CP           |1
4239       TAPAJOS COMERCIO DE MEDI|4003684|10.0|SEROQUEL XRO 200MG C/30CP C1 ASTRAZENEC |1
521        DUNORTE DISTRIBUIDORA DE|6000232|120.0|TINTA KOLESTON 121 LOURO CLARIS ACI     |12
521        DUNORTE DISTRIBUIDORA DE|6000233|60.0|TINTA KOLESTON ESP 28 PRETO AZULADO     |6
521        DUNORTE DISTRIBUIDORA DE|6000236|60.0|TINTA KOLESTON 81 LOURO CINZA CLARO     |6
521        DUNORTE DISTRIBUIDORA DE|6000237|12.0|DESCOL PO WELLA BLONDOR CAMO 20g CX20   |1
521        DUNORTE DISTRIBUIDORA DE|6000892|24.0|ADOCANTE LÍQ FINN STÉVIA 100% 65ML      |2
521        DUNORTE DISTRIBUIDORA DE|6000900|72.0|ADOCANTE LÍQ ZERO CAL SACARINA 100ML MU6|7
521        DUNORTE DISTRIBUIDORA DE|6000907|36.0|ADOCANTE LÍQ ZERO CAL SUCRALOSE 100MLMU6|3
521        DUNORTE DISTRIBUIDORA DE|6000909|24.0|ADOCANTE LÍQ ZERO CAL ASPARTAME 100ML   |2
521        DUNORTE DISTRIBUIDORA DE|6000922|48.0|ADOCANTE LÍQ ADOCYL STÉVIA 80ML MU6     |4
521        DUNORTE DISTRIBUIDORA DE|6000926|36.0|ADOCANTE LÍQ ADOCYL SUCRALOSE 80ML MU6  |3
3593       SB COMERCIO LTDA        |4005797|72.0|TARFIC 1,0MG/G POM 30G OR BG (LIB)      |7
3593       SB COMERCIO LTDA        |4004160|60.0|COGLIVE 8 MG CX 30 CAP                  |6
3593       SB COMERCIO LTDA        |4005724|75.0|CARDILOL 12,5MG C/60CP (LIB)            |7
3593       SB COMERCIO LTDA        |4005721|60.0|ANSITEC 5MG 20CP (LIB)                  |6
3593       SB COMERCIO LTDA        |4005802|60.0|VATIS 150MG C/60CP (LIB)                |6
3593       SB COMERCIO LTDA        |4003970|60.0|SIBLIMA C/24CP (LIB)                    |6
3593       SB COMERCIO LTDA        |4005783|60.0|PLENANCE 20MG C/90CP (LIB)              |6
3593       SB COMERCIO LTDA        |4005789|60.0|SIBLIMA C/72CP (LIB)                    |6
3593       SB COMERCIO LTDA        |4005796|56.0|SUMAX SOL NASAL 10MG C/2DOSES (LIB)     |5
3593       SB COMERCIO LTDA        |4005807|64.0|VENZER HCT 16MG+12,5MG C/30CP (LIB)     |6
3593       SB COMERCIO LTDA        |4000550|80.0|KOIDE D XPE PED 120ML                   |8
3593       SB COMERCIO LTDA        |4001119|2.0|MULTIGRIP CX20CP                        |0
3593       SB COMERCIO LTDA        |4001713|84.0|FORMYN 850MG CX 30CP                    |8
3593       SB COMERCIO LTDA        |4001712|84.0|FORMYN 500MG CX 30CP                    |8
3593       SB COMERCIO LTDA        |4001139|72.0|NIZUIL GEL TUBO 40G                     |7
3593       SB COMERCIO LTDA        |4005205|108.0|AMPICILINA 500MG C/10CAPS (MUG)         |10
3593       SB COMERCIO LTDA        |4003021|30.0|ICTUS 25MG C/30CP (BLB)                 |3
3593       SB COMERCIO LTDA        |4003441|30.0|ICTUS 3,125MG 30CPR BIOLAB              |3
3593       SB COMERCIO LTDA        |4003870|30.0|SUPREMA 1M/2MG 28CP BIOLAB              |3
3593       SB COMERCIO LTDA        |4005345|30.0|MIND 10MG 30CP                          |3
3593       SB COMERCIO LTDA        |4005674|30.0|DISFOR 11G C/30 EV (BLB)                |3
3593       SB COMERCIO LTDA        |4005710|30.0|NOVANLO 5MG 60 CP (BLB)                 |3
3593       SB COMERCIO LTDA        |4006305|30.0|ARADOIS 50MG COM REV X60                |3
3593       SB COMERCIO LTDA        |4006320|30.0|DRENISON 0,125MG/G POM X30G             |3
3593       SB COMERCIO LTDA        |4006324|30.0|ECASIL-81 81MG COM REV X 30             |3
3593       SB COMERCIO LTDA        |4006325|30.0|ECASIL-81 81MG COM REV X 90             |3
3593       SB COMERCIO LTDA        |4006327|30.0|FLAVENOS 500 COM REVX60                 |3
3593       SB COMERCIO LTDA        |4006329|30.0|MONESSA CAP X 30                        |3
3593       SB COMERCIO LTDA        |4006337|30.0|QUINOFLOX 500MG COM REV X 28            |3
3593       SB COMERCIO LTDA        |4006342|30.0|STELE 1MG/G CR VAG X 50G + 5APL         |3
3593       SB COMERCIO LTDA        |4006345|30.0|VASLIP 10MG COM REV X 30                |3
3593       SB COMERCIO LTDA        |4006346|30.0|VASLIP 20MG COM REV X 30                |3
3593       SB COMERCIO LTDA        |4006348|30.0|VASOPRIL 20MG COM X30                   |3
3593       SB COMERCIO LTDA        |4006349|30.0|VASOPRIL 5MG COM X30                    |3
3593       SB COMERCIO LTDA        |4001503|78.0|NORETISTERONA ENT+ESTR 1 SERINGA 1ML-EUR|7
3593       SB COMERCIO LTDA        |4002426|50.0|OLMESARTANA HIDRO 40MG+12,5MG 30CP (EUG)|5
3593       SB COMERCIO LTDA        |4002422|50.0|SIBUTRAMINA 15MG C/30CP (EUG)           |5
3593       SB COMERCIO LTDA        |4001834|60.0|TOPIRAMATO 25MG CX 60CP-EUROFARMA (C)   |6
3593       SB COMERCIO LTDA        |4002421|50.0|SIBUTRAMINA 10MG C/30CP (EUG)           |5
3593       SB COMERCIO LTDA        |4004070|40.0|ISOCONAZOL NITR CR VAG 40G CRISTALIA    |4
3593       SB COMERCIO LTDA        |4004082|50.0|SILDENAFILA CITR 50MG 2CPR              |5
3593       SB COMERCIO LTDA        |4001821|50.0|ESCITALOPRAM 20MG CX 30CP-EUROFARMA (C) |5
3593       SB COMERCIO LTDA        |4001831|50.0|RISPERIDONA 3MG CX 30CP-EUROFARMA (C)   |5
3593       SB COMERCIO LTDA        |4001832|50.0|SERTRALINA 100MG CX 30CP-EUROFARMA (C)  |5
3593       SB COMERCIO LTDA        |4004087|80.0|TRIANCINOLONA + ASSOCIACOES CR 30G      |8
3593       SB COMERCIO LTDA        |4001895|50.0|TAMISA 20MCG C/21CP                     |5
3593       SB COMERCIO LTDA        |4002108|50.0|CARBOLITIUM 300MG C/50CP                |5
3593       SB COMERCIO LTDA        |4001896|50.0|TAMISA 30 75MCG+30MCG C/21CP            |5
3593       SB COMERCIO LTDA        |4002463|50.0|ARTICO 1,5G+1,2G C/30EVX5G (EUF)        |5
3593       SB COMERCIO LTDA        |4005402|50.0|ARTICO 500MG+400MG 90CAP                |5
3593       SB COMERCIO LTDA        |4001898|50.0|TAMISA S/ PARAR 75MCG+30MCG 84CP        |5
3593       SB COMERCIO LTDA        |4003917|50.0|QUET XR 50MG C/30CP (EUF)               |5
3593       SB COMERCIO LTDA        |4005431|50.0|PLAQ 75MG 30CPR                         |5
3593       SB COMERCIO LTDA        |4000238|50.0|PANTOCAL 40MG 14CPR                     |5
3593       SB COMERCIO LTDA        |4002114|50.0|PONDERA 15MG C/20CP                     |5
3593       SB COMERCIO LTDA        |4002120|50.0|SIBUS 15MG C/60CP                       |5
3593       SB COMERCIO LTDA        |4000254|50.0|VARTAZ 320G C/30CP                      |5
3593       SB COMERCIO LTDA        |4000237|50.0|PANTOCAL 20MG 14CPR                     |5
3593       SB COMERCIO LTDA        |4006381|50.0|HEIMER 10MG 60CPR (C1)                  |5
3593       SB COMERCIO LTDA        |4006267|50.0|COQUES 200 MG 10 CAP ACLAR 2000         |5
3593       SB COMERCIO LTDA        |4006292|50.0|GÉSICO 50MG 10CPR (C1)                  |5
3593       SB COMERCIO LTDA        |4006266|50.0|COQUES 200 MG 30 CAP                    |5
3593       SB COMERCIO LTDA        |4006265|50.0|ESC 20MG SOL. ORAL                      |5
3593       SB COMERCIO LTDA        |4006264|50.0|GÉSICO RETARD 100MG 10CPR (C1)          |5
3593       SB COMERCIO LTDA        |4002119|50.0|SIBUS 15MG C/30CP                       |5
3593       SB COMERCIO LTDA        |4005701|50.0|HEIMER 10 MG 30 CP                      |5
3593       SB COMERCIO LTDA        |4005411|50.0|AZOX 500MG 6CPR SAN                     |5
3593       SB COMERCIO LTDA        |4003727|50.0|LUGANO 12MCG+250MCG C/60CAPS+INAL EUROF |5
3593       SB COMERCIO LTDA        |4002034|1.0|MIRTAZAPINA 30MG CX 28CP-SANDOZ         |0
3593       SB COMERCIO LTDA        |4001420|60.0|TRILAX CX 30CP                          |6
3593       SB COMERCIO LTDA        |4005351|72.0|GABAPENTINA 300MG 30CP                  |7
3593       SB COMERCIO LTDA        |4005325|144.0|PANTOPRAZOL 40MG 28CP                   |14
3593       SB COMERCIO LTDA        |4003763|80.0|ROSULIB 20MG C/30CP NOVARTIS            |8
3593       SB COMERCIO LTDA        |4003762|80.0|ROSULIB 10MG C/30COMP NOVARTIS          |8
4239       TAPAJOS COMERCIO DE MEDI|4000793|13.0|EPOCLER ABACAXI 10ML CX-60              |1
4239       TAPAJOS COMERCIO DE MEDI|4000795|12.0|ENGOV 6CPR CX25                         |1
4239       TAPAJOS COMERCIO DE MEDI|4000794|96.0|EPOCLER TRAD 6FLAC 10ML                 |9
4239       TAPAJOS COMERCIO DE MEDI|4000769|90.0|ADDERA D3 50.000UI GEL C/4CAPS          |9
4239       TAPAJOS COMERCIO DE MEDI|4002945|120.0|ALIVIUM 600MG 10CAP                     |12
4239       TAPAJOS COMERCIO DE MEDI|4000212|72.0|DIPROSONE CREME 30G                     |7
4239       TAPAJOS COMERCIO DE MEDI|4004582|100.0|MARACUGINA 90MG/ML SOL 100ML (HCH)      |10
4239       TAPAJOS COMERCIO DE MEDI|4000191|50.0|GINGILONE POM 10G                       |5
4239       TAPAJOS COMERCIO DE MEDI|4004290|72.0|ESTOMAZIL SEM SABOR 100G                |7
4239       TAPAJOS COMERCIO DE MEDI|4000189|50.0|DIPROSPAN HYPAK FR/AMP 1ML              |5
12585      TOTAL LOGÍSTICA FARMACÊU|4000965|50.0|DESLORANA 5MG CX 10CP                   |5
12585      TOTAL LOGÍSTICA FARMACÊU|4002526|50.0|NATUS GERIN C/ 50 CPR                   |5
12585      TOTAL LOGÍSTICA FARMACÊU|4002938|100.0|ALBENDAZOL-GEN SUSP 40MG 10ML           |10
12585      TOTAL LOGÍSTICA FARMACÊU|4006060|50.0|DORZAL MT 20MG/5MG/ML GOTAS OFT 5ML(LGO)|5
12585      TOTAL LOGÍSTICA FARMACÊU|4006045|50.0|DORZAL 20MG/ML GOTAS OFT 5ML (LGO)      |5
12585      TOTAL LOGÍSTICA FARMACÊU|4005279|50.0|POLIMOXIL 250MG C/150ML (LGD)           |5
12585      TOTAL LOGÍSTICA FARMACÊU|4002568|50.0|ONCILEG POMADA TUDO 30G                 |5
3593       SB COMERCIO LTDA        |4000047|50.0|ALENIA 6/100MCG 60CAP+INAL              |5
3593       SB COMERCIO LTDA        |4000285|60.0|CERUMIN SOL OTOLOGICA C/8ML             |6
3593       SB COMERCIO LTDA        |4000300|50.0|DUO-TRAVATAN BAK FREE SOL 2,5ML         |5
3593       SB COMERCIO LTDA        |4000479|50.0|LYSTATE 120 MG FR C/30CP                |5
3593       SB COMERCIO LTDA        |4000480|50.0|UNO CICLO C/SERINGA C/1AP               |5
3593       SB COMERCIO LTDA        |4000572|50.0|FORASEQ 12/400MCG C/60+60CP REFIL       |5
3593       SB COMERCIO LTDA        |4000575|50.0|GALVUS MET 50MG+500MG C/56CP            |5
3593       SB COMERCIO LTDA        |4000982|100.0|FLUCOVIL 150MG CX 1CP                   |10
3593       SB COMERCIO LTDA        |4000988|50.0|HIDROFLUX 25MG CX 30CP                  |5
3593       SB COMERCIO LTDA        |4001020|50.0|PRESSOMEDE 10MG CX 30CP TJ              |5
3593       SB COMERCIO LTDA        |4001021|50.0|PRESSOMEDE 20MG CX 30CP                 |5
3593       SB COMERCIO LTDA        |4001087|50.0|FENAFLAN GEL FRASCO 60G                 |5
3593       SB COMERCIO LTDA        |4001291|50.0|METILDOPA 250MG CX 30CP-BIOSINTÉTICA    |5
3593       SB COMERCIO LTDA        |4001292|50.0|METILDOPA 500MG CX 30CP-BIOSINTETICA    |5
