Material;Texto breve material
4001130;NEOPIRIDIN SPRAY FRASCO 50ML            
4001132;NEOSAC 300MG CX 20CP                    
4001136;NEOTAFLAN GTS FRASCO 20ML               
4001137;NEOTOSS XPE ADT FRASCO 100ML            
4001138;NEOTOSS XPE INF FRASCO 60ML             
4001139;NIZUIL GEL TUBO 40G                     
4001140;OLEO MINERAL FRASCO 100ML UNIÃO QUÃMICA 
4001141;OLEO MINERAL FRASCO 100ML               
4001143;PEPSOGEL SUSPENÃÃO FRASCO 240ML         
4001144;PLESONAX 5MG CX 20CP                    
4001146;PROCTS H POM TUBO 20G+1APLIC            
4001147;PROPIOSOL CREME TUBO 30G                
4001148;PROPIOSOL POMADA TUBO 30G               
4001151;QUEIMALIVE POMADA TUBO 30G              
4001152;QUEIMALIVE SUN FRACO 50ML               
4001153;RESFENOL CX 20CP                        
4001154;RESFENOL THERMUS CX 50SACHE 5G CX-50    
4001155;HEPATILON LIQ C/150ML                   
4001157;REPOFLOR 100 MG CX 12CP                 
4001158;REPOFLOR 200MG CX 6CP                   
4001159;REPOFLOR PED 200MG CX 4SACHE            
4001160;RITMONEURAN RTM CX 40CP                 
4001161;SOMINEX COMPOSTO CX 20CP                
4001164;TYLEMAX BABY S.FRUTAS FRASCO 15ML       
4001165;TYLEMAX CRIANCA S.FRUTAS FRASCO 60ML TJ 
4001166;TYLEMAX GTS TUTTI-FRUT FRASCO 15ML      
4001167;UROVIT 100MG CX 25CP                    
4001168;UROVIT 200MG CX 18CP                    
4001169;VITA SENIOR POLIV CX 30CP               
4001170;VITAFER CX 50CP                         
4001171;VITAMINA E 400MG FRASCO 30CP            
4001172;VITERGYL C GTS FRASCO 20ML              
4001173;VITERGYL ZINCO 1G EFERV FRASCO 30CP     
4001174;XAROPE GUACO S/ACUCAR FRASCO 150ML      
4001177;ACECLOFENACO 100MG CX 12CP-EMS          
4001178;ACICLOVIR CREME TUBO 10G-EMS            
4001179;ACIDO MEFENAMICO 500MG CX 24CP-EMS      
4001180;ACIDO TRANEXAMICO 250MG CX 12CP-EMS     
4001181;ALBENDAZOL SUS FRASCO 10ML-EMS          
4001182;ALENDRONATO SODICO 70MG CX 4CP-EMS      
4001183;ALGESTONA+EST 150+10MG 1AMPOLA 1ML-EMS  
4001184;AMOXICILINA 250MG FRASCO 150ML-EMS      
4001185;AMOXICILINA 400MG FRASCO 100ML- EMS     
4001188;AMOXICILINA 500MG CX 21CP-EMS TJ        
4001189;AMOXICILINA+CLAPOT 875+125MG CX14CPBIOSI
4001190;AMOXICILINA+CLAV.POT 400/57MG FRASCO 70M
4001192;ATENOLOL 50MG CX 30CP-EMS               
4001193;ATENOLOL 50MG CX 30CP-MEDLEY            
4001194;ATENOLOL 25MG CX 30CP-EMS               
4001195;ATENOLOL+CLO 50+12,5MG CX 60CP-MEDLEY   
4001197;ATORVASTATINA 20MG CX 30CP-EMS          
4001198;ATORVASTATINA 20MG CX 30C-MEDLEY        
4001199;AZITROMICINA 500MG CX 3CP-EMS           
4001200;AZITROMICINA 600MG FRASCO 15ML-NQUIMICA 
4001201;AZITROMICINA 900MG FRASCO 22ML-NQUIMICA 
4001202;BENZOILMETRONIDAZOL FRASCO 120ML-EMS    
4001203;VALERATO DE BETAME CREME TUBO 30G-MEDLEY
4001205;BROMETO IPRATROPIO P/INAL FRASCO 20ML-NQ
4001206;CAPTOPRIL 25MG CX 30CP-EMS              
4001207;CAPTOPRIL 25MG CX 30CP-MEDLEY           
4001208;CAPTOPRIL 50MG CX 30CP-MEDLEY           
4001209;CARVEDILOL 12,5MG CX 30CP-BIOSINTETICA  
4001210;CARVEDILOL 25MG CX 30CP-EMS             
4001211;CARVEDILOL 3,125MG CX 30CP-EMS          
4001212;CARVEDILOL 6,25MG CX 30CP-BIOSINTETICA  
4001213;CARVEDILOL 6,25MG CX 30CP-EMS           
4001214;CEFACLOR 500MG CX 10CP-EMS              
4001216;CEFALEXINA 250MG FRASCO 100ML-EMS       
4001217;CEFALEXINA 500MG CX 10CP-EMS            
4001218;CEFALEXINA 500MG CX 10CP-MEDLEY         
4001219;CETOCONAZOL 200MG CX 10CP-NEO QUIMICA   
4001220;CETOPROFENO GTS FRASCO 20ML-MEDLEY      
4001221;CETOPROFENO 100MG CX 20CP-MEDLEY        
4001222;CICLOBENZAPRINA 10MG CX 30CP-EMS        
4001223;CICLOBENZAPRINA 5MG CX 30CP-EMS         
4001224;CICLOPIROX OLAM SOL TOP 10MG FR 15ML-EMS
4001225;CIPROFIBRATO 100MG CX 30CP-MEDLEY       
4001226;CIPROFIBRATO 100MG CX 30CP-NEO QUIMICA  
4001227;CIPROFLOXACINO 500MG CX 14CP-EMS        
4001228;CLARITROMICINA 500MG CX 10CP-EMS        
4001229;CLARITROMICINA 500MG CX 10CP-MEDLEY     
4001230;CLOBETASOL CREME TUBO 30G-NEO QUIMICA   
4001231;CLOBETASOL POMADA TUBO 30G-EMS          
4001232;CLOBETASOL POMADA TUBO 30G-NEO QUIMICA  
4001233;CLOPIDOGREL 75MG CX 28CP-EMS            
4001234;CLORTALIDONA 25MG CX 60CP-EMS           
4001235;CLOTRIMAZOL CREME VAG TUBO 35G+6APL-EMS 
4001236;DESLORATADINA 5MG CX 10CP-EMS           
4001237;DEXAMETASONA CREME TUBO 10G-EMS TJ      
4001238;DEXAMETASONA ELIXIR C/ 120ML-EMS        
4001239;DEXAMETASONA ELIXIR C/ 120ML-NEO QUIMICA
4001240;DEXAMETASONA 4MG CX 10CP-EMS            
4001241;DEXCLORF+BETAM 2+0,25MG CX 20CP-EMS     
4001242;DEXCLORF+BETAMETAS XPE FRASCO 120ML-NEO 
4001243;DILTIAZEM 60MG CX 25CP-EMS              
4001244;DOMPERIDONA 10MG CX 30CP-EMS            
4001245;DOMPERIDONA SUS 1MG/ML C/100ML-MEDLEY   
4001246;DOXICICLINA 100MG CX 15CP-EMS           
4001247;ENALAPRIL 10MG CX 30CP-EMS              
4001248;ENALAPRIL 10MG CX 30CP-MEDLEY           
4001249;ENALAPRIL 10MG CX 30CP-NEO QUIMICA      
4001250;ENALAPRIL 5MG CX 30CP-EMS               
4001252;ESOMEPRAZOL MAG 20MG CX 28CP-EMS        
4001253;ESOMEPRAZOL 40MG CX 14CP-MEDLEY         
4001254;ESPIRONOLACTONA 25MG CX 30CP-EMS        
4001255;ESPIRONOLACTONA 50MG CX 30CP-EMS        
4001256;FINASTERIDA 1MG CX 30CP-MEDLEY          
4001257;FLUCONAZOL 150MG CX 1CP-EMS             
4001258;FLUCONAZOL 150MG CX 2CP-EMS             
4001259;FUROSEMIDA 40MG CX 30CP-BIOSINTETICA    
4001260;GENFIBROZILA 600MG CX 30CP-MEDLEY       
4001261;GLIBENCLAMIDA 5MG CX 30CP-MEDLEY        
4001262;GLIBENCLAMIDA 5MG CX 30CP-NEO QUIMICA   
4001263;GLIBENCLAMIDA 5MG CX 30CP-NEOQUIMICICA G
4001264;GLIMEPIRIDA 2MG CX 30CP-MEDLEY          
4001265;GLIMEPIRIDA 4MG CX 30CP MEDLEY          
4001266;HIDROCLOROTIAZIDA 25MG CX 30CP-EMS      
4001267;HIDROCLOROTIAZIDA 25MG CX 30CP-MEDLEY   
4001268;HIDROCLOROTIAZIDA 50MG CX 20CP-MEDLEY   
4001269;HIDROQUINONA 40MG CREME TUBO 30G-EMS    
4001270;CLORIDRATO DE HIDROXIZINA 25MG CX 30CP  
4001271;IBANDRONATO DE SODIO 150MG 1CP ACHÃ     
4001272;IPRATROPIO SOL P/ INAL FRASCO 20ML-NQUIM
4001274;LANSOPRAZOL 30MG CX 14CP-MEDLEY         
4001276;LEVOFLOXACINO 500MG CX 10CP-EMS         
4001277;LISINOPRIL 10MG CX 30CP-MEDLEY          
4001279;LOSARTANA POTASSICO 100MG CX 30CP-EMS   
4001280;LOSARTANA POTASSICO 50MG CX 30CP        
4001281;LOSARTANA+HID 100+25MG CX 30CP-EMS      
4001282;LOSARTANA+HID 50+12,5MG CX 30CP-EMS     
4001283;LOSARTANA+HID 50+12,5MG CX 30CP-MEDLEY  
4001284;MELOXICAM 15MG CX 10CP-NEO QUIMICA      
4001285;MELOXICAM 7,5MG CX 10CP-MEDLEY          
4001286;METFORMINA 500MG CX30CP-MEDLEY          
4001287;METFORMINA 500MG CX 60CP-MEDLEY         
4001288;METFORMINA 850MG CX 30CP-MEDLEY         
4001290;METFORMINA 850MG CX 60CP-MEDLEY         
4001291;METILDOPA 250MG CX 30CP-BIOSINTÃTICA    
4001292;METILDOPA 500MG CX 30CP-BIOSINTETICA    
4001293;METOPROLOL 100MG CX 30CP-MEDLEY         
4001294;MOMETASONA CREME 1MG TUBO 20G-BIOSINTETI
4001295;MOMETASONA POMADA TUBO 20G-MEDLEY       
4001296;ISOSSORBIDA 20MG CX 30CP BIOSINTETICA   
4001297;NARATRIPTANA 2,5MG CX10CP-NOVAQUIMICA   
4001298;NEOMICINA+BACITRACINA POM TUBO 15G-EMS  
4001299;NEOMICINA+BACITRACINA POM TUBO 15G-NEO Q
4001300;NIMESULIDA GTS FRASCO 15ML-EMS          
4001301;NIMESULIDA 100MG CX 12CP-EMS TJ         
4001303;NISTATINA CREME VAG TB60G C/14APLIC-NQUI
4001305;NORFLOXACINO 400MG CX 14CP-MEDLEY       
4001306;OMEPRAZOL 20MG CX 28CP-EMS              
4001307;ORLISTATE 120MG CX 42CP-EMS             
4001308;ORLISTATE 120MG CX 42CP-NEO QUIMICA     
4001309;PANTOPRAZOL 20MG CX 28CP-MEDLEY         
4001310;PANTOPRAZOL 40MG CX 28CP-EMS            
4001312;PIROXICAM 20MG CX 15CP- EMS             
4001313;PREDNISOLONA 20MG CX 10CP-EMS           
4001314;PREDNISONA 20MG CX 10CP-NEO QUIMICA     
4001315;PREDNISONA 20MG CX 20CP-NEO QUIMICA     
4001316;PREDNISONA 5MG CX 20CP-EMS              
4001318;PROPRANOLOL 40MG CX 30CP-MEDLEY         
4001319;PROPRANOLOL 40MG CX 30CP-NEO QUIMICA    
4001321;RANITIDINA 150MG CX 10CP-EMS            
4001322;RANITIDINA 150MG CX 20CP-EMS            
4001324;ROSUVASTATINA CALCICA 10MG CX 30CP-MEDLE
4001325;SALBUTAMOL FRASCO 120ML-NEO QUIMICA     
4001326;SECNIDAZOL 450MG FRASCO 15ML-EMS        
4001328;SILDENAFILA 50MG CX 2CP-EMS             
4001329;SILDENAFILA 50MG CX 4CP-EMS             
4001330;SINVASTATINA 20MG CX 30CP-MEDLEY        
4001331;SINVASTATINA 40MG CX 30CP-MEDLEY        
4001332;TADALAFILA 20MG CX 1CP-MEDLEY           
4001333;TADALAFILA 20MG CX 2CP-EMS              
4001334;TADALAFILA 20MG CX 2CP-MEDLEY           
4001335;TANSULOSINA 0,4MG CX 30CP-MEDLEY        
4001337;TERBINAFINA 250MG CX 14CP-MEDLEY        
4001338;TIBOLONA 2,5MG CX 30CP-EMS              
4001341;TIOCONAZOL+TINIDAZOL TUBO 35G+7APL-EMS  
4001342;TOBRAMICINA SOL OFT 0,3PC FRASCO 5ML-BIO
4001343;TOBRAMICINA+DEXAMET SUS FRASCO 5ML-BIOSI
4001344;VALSARTANA 160MG CX 30CP-EMS            
4001346;ACEBROFILINA XPE ADT FRASCO 120ML-EMS   
4001347;ACEBROFILINA XPE ADT FRASCO 120ML-NEO QU
4001348;ACEBROFILINA XPE ADT FRASCO 120ML-EUROFA
4001349;ACEBROFILINA XPE INF FRASCO 120ML-EMS   
4001350;ACEBROFILINA XPE INF FRASCO 120ML-NEO QU
4001351;ACETILCISTEINA XPE PED FRASCO 120ML-EMS 
4001352;ACETILCISTEINA 200MG CX 16SACHE 5G-EMS  
4001353;ACIDO ACETILSALIC 100MG CX 30CP - EMS   
4001354;AMBROXOL ADT FRASCO 120ML-EMS           
4001356;AMBROXOL ADT FRASCO 120ML-NEO QUIMICA   
4001357;AMBROXOL INF FRASCO 120ML-NEO QUIMICA   
4001360;CARBOCISTEINA XPE PED FRASCO100ML EMS(TJ
4001361;CETOCONAZOL CREME TUBO 30G-NEO QUIMICA  
4001362;CLOTRIMAZOL CREME TUBO 20G-EMS          
4001364;DEXCLORFENIRAMINA XPE FRASCO 120ML-NEO Q
4001365;DICLOFENAC DIETILAMONIO EMULG TB 60G EMS
4001366;DICLOFENAC DIETILAMONIO EMULG TB 60G NQ 
4001367;DICLOFENACO DE SODICO GEL TUBO 60G-EMS  
4001368;DICLOFENACO DIETILAMONIO EMUGEL 60G     
4001369;DIPIRONA SODIO 50MG FRASCO 100ML -EMS   
4001370;DIPIRONA SODICA GTS FRASCO 10ML -EMS    
4001371;DROPROPIZINA XPE PED FRASCO 120ML-NEO QU
4001372;HIDROXIDO DE ALUMINIO FRASCO 240ML-EMS  
4001373;LORATADINA 1MG/ML FRASCO 100ML-NEO QUIMI
4001376;PARACETAMOL 750MG CX 20CP- EMS          
4001377;PARACETAMOL BEBE 100MG/ML FRASCO 15ML- E
4001378;PARACETAMOL GTS FRASCO 15ML- EMS        
4001379;PARACETAMOL+CAFE 500+65MG CX 20CP- EMS  
4001380;PARACETAMOL+CAFEINA 500MG/65MG 20CP     
4001381;SIMETICONA 125MG CX 10CP-MEDLEY         
4001382;SIMETICONA 75MG/ML GTS FRASCO 15ML-MEDLE
4001383;SIMETICONA GTS FRASCO 15ML-EMS          
4001388;TYLENOL SINUS 24 COMPRIMIDOS - JOHNSON  
4001389;VICK VAPORUB POMADA 12G - P&G CX 24     
4001390;AFOLIC 5MG CX 20COMP                    
4001391;ALBEL 40MG/ML FRASCO 10ML               
4001392;ASMOFEN 0,2MG/ML XPE FRASCO 120ML       
4001393;BACTERACIN 400MG+80MG CX 20CP           
4001394;BACTERACIN 40MG/ML+8MG/ML FRASCO 100ML  
4001395;BONALEN 70MG CX 4CP                     
4001396;CELESTRAT 2MG/0,25MG CX 15CP            
4001397;CELESTRAT XPE FRASCO 120ML              
4001398;CLANISTIL SOLUÃÃO OFTALMICA FRASCO 15ML 
4001399;CO-PRESSOTEC 10/25MG CX 30CP            
4001400;CO-PRESSOTEC 20/12,5MG CX 30CP          
4001401;COLPATRIN CREME VAGINAL TUBO 50G 10 APLI
4001402;DEXASON CREME TUBO 10G                  
4001403;DEXASON ELIXIR CEREJA FRASCO 100ML      
4001405;DIURIX 25MG CX C/20CP                   
4001406;DIURIX 25MG CX C/30CP                   
4001407;DIURIX 50MG CX C/30CP                   
4001408;FERRONIL 40MG CX C/50CP                 
4001409;GLICONIL 5MG CX C/30CP                  
4001410;HISTADIN D 5MG/120MG CX C/12CP          
4001412;LIDOGEL 2% GELEIA TUBO 30G              
4001413;LOZAN 200MG CX 30CP                     
4001414;LOZAN CREME TUBO 30G                    
4001415;NIFEDIPRESS RETARD 20MG CX 30CP         
4001416;RANITIDIL 150MG CX 10CP                 
4001417;RENALAPRIL 10MG CX 30CP                 
4001419;TASULIL 0,4MG CX 30CP                   
4001420;TRILAX CX 30CP                          
4001421;CANDITRAT SUSP FRASCO 50ML              
4001422;CETOFENID SOL ORAL FRASCO 20ML          
4001425;CLOTREN CREME TUBO 50G                  
4001426;COLACT 667MG/ML XPE AMEIXA FRSCO 120ML  
4001427;COMPLEXO B CX 50CP MEDQUIMICA           
4001428;CYSTEX CX 24CP                          
4001429;DELTALAB LOCAO FRASCO 100ML             
4001432;DIPIMED GTS FRASCO 20ML                 
4001433;DORSPAN COMPOSTO GTS FRASCO 20ML        
4001434;ENDCOFF MEL/LIMAO CARTELA 12PAST        
4001435;FLOMICIN 200MG 4 SACHE 1G               
4001437;GASTROGEL CX 20CP                       
4001438;IBUPRIL 300MG CX 20CP                   
4001439;IBUPRIL 600MG CX 20CP                   
4001443;NAPROX 500MG CX 20CP                    
4001444;NEOITRAX 100MG CX 4CP                   
4001445;NEOPIRIDIN CARTELA 12PAST               
4001446;NEOSORO H FRASCO 60ML                   
4001447;NEOSORO SOL NASAL INF FRASCO 30ML       
4001448;NEOSORO SOL NASAL ADT FRASCO 30ML       
4001449;TYLIDOL GOTAS FRASCO 15ML               
4001450;ACICLOVIR 50MG CREME TUBO 10G CRISTÃLIA 
4001451;ACIDO MEFENAMICO 500MG CX 12CAP-MEDLEY  
4001452;ACIDO MEFENAMICO 500MG CX 24CP-MEDLEY   
4001453;ALBENDAZOL 400MG CX 1CP MASTIGAVEL-MEDLE
4001454;ALGESTONA+EST 150+10MG 1 AMPOLA 1ML -EUR
4001455;ALOPURINOL 100MG CX 30CP-MEDLEY         
4001457;AMOXICILINA+CLAV 875MG+125MG CX 14CP-EUR
4001458;ANLODIPINO 5MG CX 30CP-MEDLEY           
4001459;ATENOLOL 25MG CX 30CP-MEDLEY            
4001460;ATENOLOL 100MG CX30CP-MEDLEY            
4001461;AZITROMICINA 500MG CX 3CP-EUROFARMA     
4001462;AZITROMICINA 500MG CX 5CP-EUROFARMA     
4001464;BETAM+DIPR 5MG/ML 1 AMPOLA 1ML-EUROFARMA
4001465;BETAMETASONA POMADA 1MG TUBO 30G-MEDLEY 
4001466;BETAMETASONA+AC SAL POMADA TUBO 30G-MEDL
4001467;BETAMETASONA+GENTA CREME TUBO 30G-MEDLEY
4001468;BROMOPRIDA 10MG CX 20CP-MEDLEY          
4001469;CEFADROXILA 500MG CX 8CP-EUROFARMA      
4001471;CEFTRIAXONA 500G IM 1 FRASCO-AMP+DIL-EU 
4001472;CETOCONAZOL 200MG CX 10CP-MEDLEY        
4001473;CETOCONAZOL+BETAM CREME TUBO 30G-EUROFAR
4001474;CETOCONAZOL+BETAM POM CX 30G-EUROFARMA  
4001475;CETOCONAZOL+BETAM+NEOM CREM TUBO 30G-EUR
4001476;CETOCONAZOL+BETAM+NEOM CREM TUBO 30G-MED
4001477;CETOCONAZOL+BETAM+NEOM POM TUBO 30G-MEDL
4001478;CETOCONAZOL+BETAM+NEOM POM TUBO 30G-EURO
4001479;CETOCONAZOL+DIP BETAM CREM TUBO 30G-MEDL
4001481;CICLOPIROX OLAMINA TOP FRASCO 15ML-MEDLE
4001482;CILOSTAZOL 100MG CX 30CP-EUROFARMA      
4001483;CILOSTAZOL 50MG CX 30CP-EUROFARMA       
4001484;CLOBETASOL CREME TUBO 30G-MEDLEY        
4001485;CLOTRIMAZOL CREM VAG TUBO 35G+APL-MEDLEY
4001486;CLOTRIMAZOL+DEXAME CREME TUBO 40G-MEDLEY
4001488;DESONIDA CREME 0,5MG TUBO 30G-MEDLEY    
4001489;DESONIDA POMADA 0,5MG TUBO 30G-MEDLEY   
4001490;DICLOF DE POTASSICO 50MG CX 20CP-MEDLEY 
4001491;DICLOF DE SODIO 50MG CX 20CP-MEDLEY     
4001492;ENALAPRIL 5MG CX 30CP-MEDLEY            
4001493;HIDROXIZINA SOLUCAO FRASCO 120ML-NEO QUI
4001495;LOSARTANA POTASSICO 50MG CX 30CP-MEDLEY 
4001496;LOSARTANA+HIDR 100+25MG CX 30CP-EUROFARM
4001497;MELOXICAM 7,5MG CX 10CP-EUROFARMA       
4001498;MONTELUCASTE DE SODIO 4MG CX 30CP-EUROFA
4001499;MUPIROCINA 20MG POM TUBO 15G-EUROFARMA  
4001500;NEOMICINA+BACITRACI POM TUBO 50G-MEDLEY 
4001501;NEOMICINA+BACITRACINA POM TUBO 15G-MEDLE
4001502;NIMESULIDA 100MG CX 12CP-EUROFARMA      
4001503;NORETISTERONA ENT+ESTR 1 SERINGA 1ML-EUR
4001504;OMEPRAZOL 20MG CX 28CP-MEDLEY           
4001505;PANTOPRAZOL 40MG CX 28CP-EUROFARMA      
4001507;PREDNISONA 20MG CX 10CP-MEDLEY          
4001508;PREDNISONA 5MG CX 20CP-MEDLEY           
4001509;RANITIDINA 150MG CX 10CP-MEDLEY         
4001510;RANITIDINA 150MG CX 20CP-MEDLEY         
4001511;SECNIDAZOL 1000MG CX 2CP-MEDLEY         
4001512;SILDENAFILA 100MG CX 1CP-MEDLEY         
4001514;TADALAFILA 5MG CX 30CP-EUROFARMA        
4001515;TETRACICLINA+ANFOT B TUBO 45G+10APL-MEDL
4001516;TIMOLOL MALEATO 0,5 PC FRASCO 5ML- BIOSI
4001517;TIOCONAZOL+TINIDAZOL TUBO 35G+7APL-MEDLE
4001519;BETAMETASONA+CLIOQU+ASSOC CREM TB 20G-EU
4001520;ACEBROFILINA XPE INF FRASCO 120ML-MEDLEY
4001521;ACETILCISTEINA 100MG C/ 16 SACHE 5G-EURO
4001522;ACETILCISTEINA 200MG C/16 SACHE 5G-EUROF
4001523;ACETILCISTEINA 600MG C/16 SACHE 5G-EUROF
4001525;BROMEXINA XPE AD FRASCO 120ML-MEDLEY    
4001526;BROMEXINA XPE PED FRASCO 120ML-MEDLEY   
4001527;CETOCONAZOL CREME TUBO 30G-MEDLEY       
4001528;CETOCONAZOL SHAMPOO FRASCO 110ML-MEDLEY 
4001529;CLOTRIMAZOL CREME TUBO 20G-MEDLEY       
4001531;DIPIRONA GTS FRASCO 20ML-MEDLEY         
4001532;DIPIRONA 50MG SOL FRASCO 100ML-MEDLEY   
4001533;DIPIRONA 500MG 24BLX10CP-MEDLEY CX-24   
4001534;IBUPROFENO 100MG/ML GTS FRASCO 20ML-BIOS
4001535;IBUPROFENO GTS FRASCO 20ML-MEDLEY       
4001536;NISTATINA+OXIDO DE ZINCO POM TUBO 60G-ME
4001537;PARACETAMOL 750MG CX 20CP-MEDLEY        
4001538;PARACETAMOL GTS FRASCO 15ML-MEDLEY      
4001539;SIMETICONA 40MG CX 20CP-MEDLEY          
4001540;EPAREMA 20DRG                           
4001542;EPAREMA HORTELA LIQ 200ML               
4001543;EPAREMA HORTELÃ 12FLAC                  
4001544;NEBACETIN POM 15G                       
4001545;NEBACETIN POM 50G                       
4001546;NEOSALDINA 20DRG                        
4001547;NEOSALDINA 30DRG                        
4001549;REPARIL GEL 30G                         
4001550;XANTINON 30CPR REV                      
4001551;XANTINON COMPLEX VD 100ML               
4001552;NEBA-SEPT SOL TOP ANTI SEPTICO 30ML     
4001553;NEBA-SEPT SPRAY 30ML                    
4001554;NENE DENT GEL                           
4001555;FLORALYTE 45 COCO 500ML                 
4001556;FLORALYTE 45 GUARANA 500ML              
4001557;FLORALYTE 45 LARANJA 500ML              
4001558;FLORALYTE 45 MACA C/500ML               
4001559;FLORALYTE 45 TUTTI-FRUTI 500ML          
4001560;FLORALYTE 90 NATURAL 500ML              
4001561;FLORALYTE 90 COCO 500ML                 
4001565;ALMEIDA PRADO N 46 C/60CP TJ            
4001566;SEDAVAN XPE ADT C/100ML                 
4001567;SEDAVAN XPE PED C/100ML                 
4001568;CALCITRAN B12 SUSP C/150ML              
4001569;CLOTRIMIX CREME DERM C/20G              
4001570;ELIXIR 914 C/150ML SIMOES               
4001572;FIMATOSAN XAROPE DE GUACO 150 ML SIMOES 
4001573;FIMATOSAN 250 ML SIMOES                 
4001574;TAMARINE FIBRAS MORANGO 30GOMAS         
4001578;DORILAX 12CPR                           
4001589;CENTRUM BASE A-Z C/30CP                 
4001590;CENTRUM BASE HOMEM C/150CP              
4001591;CENTRUM BASE MULHER C/150CP             
4001593;CENTRUM CONTROL C/60CP                  
4001594;CENTRUM BASE FG 150CP                   
4001595;CENTRUM HOMEM C/30CP                    
4001596;CENTRUM HOMEM C/60CP                    
4001597;CENTRUM MULHER C/30CP                   
4001598;CENTRUM MULHER C/60CP                   
4001599;CENTRUM PRONUTRIENT OMEGA 3 C/60CP      
4001600;CENTRUM SELECT C/30CP                   
4001601;CENTRUM SELECT HOMEM C/30CP             
4001602;CENTRUM SELECT HOMEM C/60CP             
4001603;CENTRUM SELECT MULHER C/30CP            
4001604;CENTRUM SELECT MULHER C/60CP            
4001605;COMPLEXO OMEGA A-Z C/60CP               
4001608;REDOXITOS LARANJA C/25UN                
4001609;REDOXITOS MORANGO C/25UN BAYER          
4001610;REDOXITOS UVA C/25UN                    
4001620;COREGA ULTRA PO C/40G                   
4001621;OSCAL CIT 30SA                          
4001622;OSCAL KIDS SUSP C/150ML                 
4001626;VALDA PAST LATA CLASSIC 50G CANONNE     
4001627;VALDA PAST LATA DIET 50G                
4001629;DRAMIN CAPSGEL 25MG 10CAPS              
4001630;DRAMIN CAPSGEL 50MG 10CAPS              
4001633;NORIPURUM 100MG 30CPR                   
4001634;NORIPURUM FOLICO 100MG 30CPR            
4001635;NORIPURUM GTS VD 30ML                   
4001636;NORIPURUM XPE 120ML                     
4001637;PLANTABEN PO 10ENV 5G                   
4001638;PROCTYL 15SUP                           
4001639;PROCTYL POM 10BISN 3G APLIC             
4001640;ALBEL 400MG CX 01CP                     
4001643;ANTIVIRAX CREME TUBO 10G                
4001645;ATENOLAB 50MG CX 30CP                   
4001647;BENEUM 300MG CX 30CP                    
4001648;BRONTEK XPE PED 5MG/ML FRASCO 120ML     
4001649;CAPTOLAB 25MG CX 30CP                   
4001650;PROCTYL POM 30G APLIC                   
4001651;AD-TIL GTS 20ML                         
4001652;ALBOCRESIL 6 OVULOS                     
4001653;ALBOCRESIL GEL 50G APLIC                
4001654;BRONCHO VAXOM 3,5MG 30SACHE             
4001655;DRAMIN B6 50+10MG 30CPR                 
4001656;DRAMIN B6 GTS PED 30ML                  
4001657;ESALERG 5MG 10CPR REV                   
4001658;ESALERG GTS 1,25MG/ML 20ML              
4001659;LEVOID 150MG 30CPR REV                  
4001660;NOVOCILIN 875MG 14CAPS                  
4001663;ASTRO 1500MG SUSP+DIL 22ML+SER          
4001664;DUOFILM 15ML                            
4001665;ACULAR LS SOL OFT 0,4% 5ML              
4001666;FRESH TEARS SOL OFT 15ML                
4001669;TRIAXIN IM 500MG 1FR AMP 2ML INJ        
4001672;ADEFORTE ORAL C/1APX3ML                 
4001673;ORGANO NEUROCEREBRAL C/25CP             
4001675;BETATRINTA INJ 1AMP 1ML+SER             
4001676;PILOCARPINA SOL OFT 2% 10ML             
4001678;ZYMAR XD 0,5% FR 5ML                    
4001679;YANG 30 21CPR - ALTHAIA                 
4001680;INSUL LANTUS 100UI/M L 1REFIL 3ML       
4001681;INSUL LANTUS 100UI/M SOLOSTAR 3ML+CAN AP
4001683;INSUL APIDRA 100UI/M 1FR/AMP 3ML        
4001684;INSUL APIDRA 100UI/M SOLOSTAR 3ML       
4001685;SINUSTRAT SOL.NATURAL C/30ML            
4001686;SINUSTRAT FR 10ML                       
4001687;UTROGESTAN 200MG C/14CP                 
4001688;HUMULIN N C/2REFX3,0ML                  
4001689;HUMULIN N NPH 100UI 10ML                
4001690;HUMULIN R C/1FR-APX10ML                 
4001691;HUMULIN R C/2REFX3ML                    
4001692;HUMALOG C/10ML                          
4001693;HUMALOG C/2REFX3ML                      
4001695;PYRIDIUM 100 MG C/25 DRG                
4001696;PYRIDIUM 200 MG C/18 DRG                
4001697;ADINOS GEL/CR 30G                       
4001698;VICK INALADOR 0.5G COM 12UNX1UN (CX-12) 
4001699;SONRISAL TRAD 2CP EFER GLAXO CX-30      
4001700;CAPTOLAB 25MG CX 60CP                   
4001701;CAPTOLAB 50MG CX 30CP                   
4001702;CEDROXIL 500MG CX 8CP                   
4001703;CETOCORT CREME TUBO 30G                 
4001704;CETOCORT POMADA TUBO 30G                
4001706;CICLO 21 CX 21CP                        
4001710;FLUXON 25MG CX 30CP                     
4001711;FORMYN 1G CX 30CP                       
4001712;FORMYN 500MG CX 30CP                    
4001713;FORMYN 850MG CX 30CP                    
4001716;GINO-COLON TUBO 45G+7APL                
4001717;GLICERIN LACTENTES CX 6SUP              
4001718;HELMIZOL 250MG CX 20CP                  
4001719;LOZEPREL 20MG CX 14CP                   
4001720;LOZEPREL 20MG CX 28CP                   
4001721;MAGMAX TRADICIONAL FRASCO 100ML         
4001722;MAXIVIEW SUSP OFTALMICA FRASCO 5ML      
4001723;MENOCOL 20MG CX 30CP TJ                 
